"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Stein S.D.; Plag I.","Stein, Simon David (57226803752); Plag, Ingo (7801463099)","57226803752; 7801463099","How relative frequency and prosodic structure affect the acoustic duration of English derivatives","2022","Laboratory Phonology","13","1","","","","","2","10.16995/LABPHON.6445","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129507400&doi=10.16995%2fLABPHON.6445&partnerID=40&md5=4f52e95c70db1a100fd9538a41fdef1f","Department of English and American Studies, Heinrich Heine University, Düsseldorf, Germany","Stein S.D., Department of English and American Studies, Heinrich Heine University, Düsseldorf, Germany; Plag I., Department of English and American Studies, Heinrich Heine University, Düsseldorf, Germany","Morphological segmentability, i.e., the degree to which complex words can be decomposed into their morphological constituents, has been considered an important factor in research on morphological processing and is expected to affect acoustic duration (e.g., Hay, 2001, 2003). One way of operationalizing segmentability is through the relative frequency of a complex word to its base word. However, relative frequency has failed to affect duration for different affix categories in many previous studies. One potential reason is the fact that complex words vary in their prosodic structure, depending on the prosodic integration of the affix (Plag & Ben Hedia, 2018). In a large corpus study with three different corpora and eight affixes each, we investigate how prosodic word structure and relative frequency influence duration, and how these two factors interact. We find that prosodic structure does not significantly interact with relative frequency. Second, we show that relative frequency effects on duration do not emerge consistently across a large number of affixes. Third, not only does prosodic word structure not explain the absence of relative frequency effects, it also often cannot account for durational differences as such. We discuss these findings in light of phonological theory and speech production models. © 2022 The Author(s). This is an open-access article distributed under the terms of the Creative Commons Attribution 4.0 International License (CC-BY 4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. See http://creativecommons.org/licenses/by/4.0/.","","","","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85129507400"
"Mattingley W.; Hall K.C.; Hume E.","Mattingley, Wakayo (57215577199); Hall, Kathleen Currie (55764783200); Hume, Elizabeth (57207502981)","57215577199; 55764783200; 57207502981","Epenthetic vowel production of unfamiliar medial consonant clusters by Japanese speakers","2019","Laboratory Phonology","10","1","","1","35","34","1","10.5334/labphon.158","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081206903&doi=10.5334%2flabphon.158&partnerID=40&md5=d07abf0b2c1885563cb213cd92b09467","Department of Linguistics, University of Canterbury, New Zealand; Department of Linguistics, University of British Columbia, Canada; Office of Academic Affairs, Ohio State University, United States","Mattingley W., Department of Linguistics, University of Canterbury, New Zealand; Hall K.C., Department of Linguistics, University of British Columbia, Canada; Hume E., Office of Academic Affairs, Ohio State University, United States","Existing nativized loanword studies have traditionally suggested that there are three epenthetic vowels in Japanese, which reflect both phonotactic restrictions and articulatory properties of certain consonant-vowel sequences in the language. Recent findings, however, call this tri-partite epenthesis pattern into question: First, several studies suggest that this epenthesis pattern is not true in the realm of perception and is not completely regular in production, and second, the relevant phonotactic restrictions seem to be weakening even outside of epenthesis contexts. This paper therefore investigates the extent to which the spontaneous choice of epenthetic vowels in the production of Japanese conforms to the traditional tri-partite pattern. Epenthesis was induced by presenting pseudo-word stimuli of the form of [aCCa] (C = a voiced consonant) to subjects orthographically. The findings suggest that indeed, the production pattern does not fully conform to what is generally reported for nativized loanwords; in particular, the traditionally “default” vowel [M] is used by our participants frequently in all contexts, including the two where [o] or [i] is usually reported. That said, we also show that there is considerable variability across speakers as to which vowel is epenthesized, especially in the palatal context, and this variability includes tokens of vowels similar to all possible lexical vowels of Japanese. © 2019 The Author(s). This is an open-access article distributed under the terms of the Creative Commons Attribution 4.0 International License (CC-BY 4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. See http://creativecommons.org/licenses/by/4.0/.","Japanese; Loanword adaptation; Phonotactics; Vowel epenthesis","","W. Mattingley; Department of Linguistics, University of Canterbury, New Zealand; email: wakayo.mattingley@pg.canterbury.ac.nz","","Web Portal Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85081206903"
"Ambrazaitis G.; House D.","Ambrazaitis, Gilbert (10642133600); House, David (36486369200)","10642133600; 36486369200","Probing effects of lexical prosody on speech-gesture integration in prominence production by Swedish news presenters","2022","Laboratory Phonology","13","1","15","","","","2","10.16995/labphon.6430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137230741&doi=10.16995%2flabphon.6430&partnerID=40&md5=f36a071e59e220c2d696b84177a92e03","Department of Swedish, Linnæus University, Växjö, Sweden; Division of Speech, Music and Hearing, KTH (Royal Institute of Technology), Stockholm, Sweden","Ambrazaitis G., Department of Swedish, Linnæus University, Växjö, Sweden; House D., Division of Speech, Music and Hearing, KTH (Royal Institute of Technology), Stockholm, Sweden","This study investigates the multimodal implementation of prosodic-phonological categories, asking whether the accentual fall and the following rise in the Swedish word accents (Accent 1, Accent 2) are varied as a function of accompanying head and eyebrow gestures. Our purpose is to evaluate the hypothesis that prominence production displays a cumulative relation between acoustic and kinematic dimensions of spoken language, especially focusing on the clustering of gestures (head, eyebrows), at the same time asking if lexical-prosodic features would interfere with this cumulative relation. Our materials comprise 12 minutes of speech from Swedish television news presentations. The results reveal a significant trend for larger fo rises when a head movement accompanies the accented word, and even larger when an additional eyebrow movement is present. This trend is observed for accentual rises that encode phrase-level prominence, but not for accentual falls that are primarily related to lexical prosody. Moreover, the trend is manifested differently in different lexical-prosodic categories (Accent 1 versus Accent 2 with one versus two lexical stresses). The study provides novel support for a cumulative-cue hypothesis and the assumption that prominence production is essentially multimodal, well in line with the idea of speech and gesture as an integrated system. © 2022 Ubiquity Press. All rights reserved.","","","","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85137230741"
"Denby T.; Goldrick M.","Denby, Thomas (57195192107); Goldrick, Matthew (6603845999)","57195192107; 6603845999","The voice of experience: Causal inference in phonotactic adaptation","2021","Laboratory Phonology","12","1","","1","28","27","1","10.5334/LABPHON.267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103654091&doi=10.5334%2fLABPHON.267&partnerID=40&md5=4bd25a08f3ccc111b485f97849df1e40","Department of Linguistics, Northwestern University, Evanston, IL, United States","Denby T., Department of Linguistics, Northwestern University, Evanston, IL, United States; Goldrick M., Department of Linguistics, Northwestern University, Evanston, IL, United States","Successfully grappling with widespread linguistic variation requires listeners to adapt to systematic variation in the environment while discarding incidental variation, based on listeners' prior experience. We examine the role of prior experience in phonotactic learning. Talkers who differ in their language background are more likely to vary in their phonotactic grammars than talkers who share a language variety. This predicts stronger adaptation to novel phonotactics when listeners are exposed to multiple talkers from different versus shared language backgrounds. We tested this by exposing listeners to two talkers, each of whom exhibited a different phonotactic constraint, in a recognition memory task. In Experiment 1, English listeners exposed to talkers differing in language background (English versus French) showed a greater degree of adaptation relative to cases where the talkers shared a language background (English or French). Experiment 2 found similar results when English listeners were exposed to talkers from different, non-native language backgrounds (Hindi versus Hungarian), suggesting that listeners make fine-grained distinctions between different non-native language phonotactics. These results suggest that phonotactic adaptation is flexible, but constrained by the fine-grained causal inferences listeners draw from their prior experience. Copyright: © 2021 The Author(s). This is an open-access article distributed under the terms of the Creative Commons Attribution 4.0 International License (CC-BY 4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. See http://creativecommons.org/licenses/by/4.0/.","Accent adaptation; Adult language learning; Generalization; Phonotactic learning; Phonotactics; Rational inference","","T. Denby; Department of Linguistics, Northwestern University, Evanston, United States; email: tdenby1@gmail.com","","Web Portal Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85103654091"
"Mertz J.; Annucci C.; Aristodemo V.; Giustolisi B.; Gras D.; Turco G.; Geraci C.; Donati C.","Mertz, Justine (57208224460); Annucci, Chiara (57681480700); Aristodemo, Valentina (57189071108); Giustolisi, Beatrice (57191875696); Gras, Doriane (25936176400); Turco, Giuseppina (57209015339); Geraci, Carlo (23091037700); Donati, Caterina (8042598100)","57208224460; 57681480700; 57189071108; 57191875696; 25936176400; 57209015339; 23091037700; 8042598100","Measuring sign complexity: Comparing a model-driven and an error-driven approach","2022","Laboratory Phonology","13","1","6439","","","","1","10.16995/labphon.6439","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129981802&doi=10.16995%2flabphon.6439&partnerID=40&md5=87089ee2097b1ce6ef00d59eed0c94ae","Université de Paris, CNRS, Laboratoire de linguistique formelle, Paris, F-75013, France; Department of Psychology, University of Milan-Bicocca, Milan, Italy","Mertz J., Université de Paris, CNRS, Laboratoire de linguistique formelle, Paris, F-75013, France; Annucci C., Université de Paris, CNRS, Laboratoire de linguistique formelle, Paris, F-75013, France; Aristodemo V., Université de Paris, CNRS, Laboratoire de linguistique formelle, Paris, F-75013, France; Giustolisi B., Department of Psychology, University of Milan-Bicocca, Milan, Italy; Gras D., Université de Paris, CNRS, Laboratoire de linguistique formelle, Paris, F-75013, France; Turco G., Université de Paris, CNRS, Laboratoire de linguistique formelle, Paris, F-75013, France; Geraci C.; Donati C., Université de Paris, CNRS, Laboratoire de linguistique formelle, Paris, F-75013, France","The study of articulatory complexity has proven to yield useful insights into the phonological mechanisms of spoken languages. In sign languages, this type of knowledge is scarcely documented. The current study compares an error-driven measure and a model-driven measure of complexity for signs in French Sign Language (LSF). The former measure is based on error rates of handshape, location, orientation, movement, and sign fluidity in a repetition task administered to non-signers; the latter measure is derived by applying a feature-geometry model of sign description to the same set of signs. A significant correlation is found between the two measures for the overall complexity. When looking at the effects of individual phonological classes on complexity, a significant correlation is found for handshape and location but not for movement. We discuss how these results indicate that a fine-grained theoretical model of sign phonology/phonetics reflects the degree of complexity as resulting from the perceptual and articulatory properties of signs. © 2022 The Author(s).","","","","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85129981802"
"Yazawa K.; Konishi T.; Whang J.; Escudero P.; Kondo M.","Yazawa, Kakeru (57188752174); Konishi, Takayuki (57219559907); Whang, James (57220360239); Escudero, Paola (12778157500); Kondo, Mariko (35179692200)","57188752174; 57219559907; 57220360239; 12778157500; 35179692200","Spectral and temporal implementation of Japanese speakers’ English vowel categories: A corpus-based study","2023","Laboratory Phonology","24","1","","1","33","32","1","10.16995/labphon.6427","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152740312&doi=10.16995%2flabphon.6427&partnerID=40&md5=5bc8186457f3afa01dd7ebd231db23a2","Faculty of Humanities and Social Sciences, University of Tsukuba, Ibaraki, Japan; Global Education Center, Waseda University, Tokyo, Japan; Department of Linguistics, Seoul National University, Seoul, South Korea; MARCS Institute for Brain, Behaviour and Development, Western Sydney University, Sydney, NSW, Australia; Australian Research Council Centre of Excellence for the Dynamics of Language, Australian National University, Canberra, ACT, Australia; School of International Liberal Studies, Waseda University, Tokyo, Japan; Graduate School of International Culture and Communication Studies, Waseda University, Tokyo, Japan","Yazawa K., Faculty of Humanities and Social Sciences, University of Tsukuba, Ibaraki, Japan; Konishi T., Global Education Center, Waseda University, Tokyo, Japan; Whang J., Department of Linguistics, Seoul National University, Seoul, South Korea; Escudero P., MARCS Institute for Brain, Behaviour and Development, Western Sydney University, Sydney, NSW, Australia, Australian Research Council Centre of Excellence for the Dynamics of Language, Australian National University, Canberra, ACT, Australia; Kondo M., School of International Liberal Studies, Waseda University, Tokyo, Japan, Graduate School of International Culture and Communication Studies, Waseda University, Tokyo, Japan","This study investigates the predictions of second language (L2) speech acquisition models — SLM(-r), PAM(-L2), and L2LP — on how native (L1) Japanese speakers implement the spectral and temporal aspects of L2 American English vowel categories. Data were obtained from 102 L1 Japanese speakers in the J-AESOP corpus, which also includes nativelikeness judgments by trained phoneticians. Spectrally, speakers judged to be non-nativelike showed a strong influence from L1 categories, except L2 // which could be deflected away from L1 /a/ according to SLM(-r) and L2 // which seemed orthographically assimilated to L1 /o/ according to PAM(-L2). More nativelike speakers showed vowel spectra similar to those of native English speakers across all vowels, in accordance with L2LP. Temporally, although speakers tended to equate the phonetic length of English vowels with Japanese phonemic length distinctions, segment-level L1-L2 category similarity was not a significant predictor of the speakers’ nativelikeness. Instead, the implementation of prosodic-level factors such as stress and phrase-final lengthening were better predictors. The results highlight the importance of suprasegmental factors in successful category learning and also reveal a weakness in current models of L2 speech acquisition, which focus primarily on the segmental level. Theoretical and pedagogical implications are discussed. © 2023 Ubiquity Press. All rights reserved.","","","K. Yazawa; Faculty of Humanities and Social Sciences, University of Tsukuba, Ibaraki, Japan; email: yazawa.kakeru.gb@u.tsukuba.ac.jp","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85152740312"
"Sciberras C.; Mitterer H.","Sciberras, Clive (58086786500); Mitterer, Holger (6602426535)","58086786500; 6602426535","Limits of audience design: Epenthetic glottal stops in Maltese","2022","Laboratory Phonology","13","1","9","","","","0","10.16995/labphon.6441","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147212083&doi=10.16995%2flabphon.6441&partnerID=40&md5=db6aeae02911c78c56c2c09184cfa789","Department of Cognitive Science, University of Malta, Malta; Hanyang Institute for Phonetics and Cognitive Sciences of Language (HIPCS), Malta","Sciberras C., Department of Cognitive Science, University of Malta, Malta; Mitterer H., Department of Cognitive Science, University of Malta, Malta, Hanyang Institute for Phonetics and Cognitive Sciences of Language (HIPCS), Malta","Many languages tend to mark vowel-initial words with a glottal stop in connected speech, especially when that word is in a prominent position (Garellek, 2014). This also happens in Maltese, even though the glottal stop here also occurs as a phoneme, so that the epenthetic glottal stop may significantly alter which other words the vowel-initial word is similar to. For the pair attur/at:ur/versus qattus/?at:us/(English 'actor' versus 'cat'), adding an epenthetic glottal stop to the vowel-initial word renders the two words more similar. This provides an interesting test bed for the hypothesis of audience design. If speakers want to highlight the contrast between the two words, they should, in contrast to what usually happens when a word is prominent, not produce an epenthetic glottal stop. We tested this in a production experiment and found that speakers instead produce much more glottal stops for such vowel-initial words under a phonological contrast compared with a given version, and even slightly more than when under a lexical contrast (e.g., actor versus theatre). Our results provide an example of a limitation of audience design. © 2022 Ubiquity Press. All rights reserved.","","","","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85147212083"
"Scott J.H.G.; Darcy I.","Scott, John H.G. (23028523500); Darcy, Isabelle (26030874800)","23028523500; 26030874800","Prosodic location modulates listeners’ perception of novel German sounds","2023","Laboratory Phonology","14","1","","","","","0","10.16995/labphon.6428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164802244&doi=10.16995%2flabphon.6428&partnerID=40&md5=fa939a927f185c3b2f956a22de066663","School of Languages, Linguistics, Literatures and Cultures, University of Calgary, Calgary, AB, Canada","Scott J.H.G., School of Languages, Linguistics, Literatures and Cultures, University of Calgary, Calgary, AB, Canada; Darcy I., School of Languages, Linguistics, Literatures and Cultures, University of Calgary, Calgary, AB, Canada","Interaction of sounds on the melodic tier (segments) with prosodic and phonotactic structure (syllabic context) in cross-language perception is not explicitly addressed by models of second language phonology (e.g., Perceptual Assimilation Model: Best, 1995). At initial stages of foreign language exposure, learners rely on position-specific phonetic detail more than native speakers or advanced learners, thus mappings according to prosodic and phonotactic context are a crucial factor in early interlanguage phonological development. In a perceptual assimilation experiment, we manipulated syllable position (onset vs. coda) and phonotactic complexity (simple vs. complex codas) in phonotactically similar languages for auditory presentation of six German obstruents (i.e., familiar [h k ] and novel [ç x pf͡]) to native speakers of American English who had no previous exposure to German. By means of weighted proportions (Park & de Jong, 2008) and overlap scores (Levy, 2009), we found that [h k pf͡] mapped categorically to English orthographic categories <h>, <k>, <sh>, and <f>, respectively, in all positions, whereas the novel fricatives [ç x] exhibited distinct mapping patterns from each other, from other sounds, and according to syllable position. These results demonstrate profound influences of both low-level prosodic and phonotactic contexts on perceptual assimilation of novel sounds. © 2023 Ubiquity Press. All rights reserved.","","","J.H.G. Scott; School of Languages, Linguistics, Literatures and Cultures, University of Calgary, Calgary, Canada; email: john.scott@ucalgary.ca","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164802244"
"Soo R.; Babel M.","Soo, Rachel (57203652547); Babel, Molly (35193687500)","57203652547; 35193687500","Lexical competition, sound change, and language dominance in Cantonese tone category recognition","2023","Laboratory Phonology","14","1","6448","","","","0","10.16995/labphon.6448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160084428&doi=10.16995%2flabphon.6448&partnerID=40&md5=2c7916454650990cd33c41bdea73f0e3","Department of Linguistics, The University of British Columbia, Vancouver, BC, Canada","Soo R., Department of Linguistics, The University of British Columbia, Vancouver, BC, Canada; Babel M., Department of Linguistics, The University of British Columbia, Vancouver, BC, Canada","Speech perception can be shaped by factors such as lexical competition, synchronic variation, and language dominance. Listeners can use lexical information to categorize sounds and recognize words, but systematic variation may act to neutralize lexical contrasts. Additionally, the detail in the phonological-lexical representations may vary along with linguistic experience. We examine the confluence of these factors in the current study, examining how lexical competition structures phonetic variation of merging vs. non-merging tone categories in Cantonese-English bilinguals varying in relative Cantonese vs. English dominance. Listeners categorized tokens from lexical tone continua generated from minimal pairs (Experiment 1: Word identification) and from word-nonword pairs (Experiment 2: Lexical decision). When there are lexical competitors at both endpoints of the continua, listeners maintained more discrete categorization functions for non-merging tones than merging tones. In the absence of lexical competition, there was no difference in response functions for merging and non-merging tones at the group level. English-dominant early Cantonese-English bilinguals consistently showed less sigmoidal response functions compared to Cantonese-dominant early bilinguals in both experiments suggesting that lexical representations may be stored with less precise tonal detail by English-dominant Cantonese speakers. Overall, these data suggest that the presence of a lexical competitor constrains the range of acceptable phonetic variation for non-merging tones, while listeners are more accepting of phonetic variation in the merging tone categories. © 2023 Ubiquity Press. All rights reserved.","","","R. Soo; Department of Linguistics, The University of British Columbia, Vancouver, Canada; email: rachel.soo@ubc.ca","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85160084428"
"Shaw J.A.; Foulkes P.; Hay J.; Evans B.G.; Docherty G.; Mulak K.E.; Best C.T.","Shaw, Jason A. (35797494200); Foulkes, Paul (11141407700); Hay, Jennifer (15057758400); Evans, Bronwen G. (36922341100); Docherty, Gerard (6603550290); Mulak, Karen E. (55924732500); Best, Catherine T. (7006972239)","35797494200; 11141407700; 15057758400; 36922341100; 6603550290; 55924732500; 7006972239","Revealing perceptual structure through input variation: cross-accent categorization of vowels in five accents of English","2023","Laboratory Phonology","14","1","","","","","0","10.16995/labphon.6436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170715987&doi=10.16995%2flabphon.6436&partnerID=40&md5=fcf262844a8279afeb89230b98d66074","Dept. of Linguistics, Yale University, New Haven, CT, United States; Dept. of Language & Linguistic Science, University of York, Heslington, York, United Kingdom; New Zealand Institute of Language, Brain and Behaviour, University of Canterbury, Christchurch, New Zealand; Dept. of Speech, Hearing and Phonetic Sciences, University College London, London, United Kingdom; Arts, Education and Law, Griffith University, Brisbane, Australia; The MARCS Institute for Brain, Behaviour and Development, Western Sydney University, Penrith, Australia","Shaw J.A., Dept. of Linguistics, Yale University, New Haven, CT, United States; Foulkes P., Dept. of Language & Linguistic Science, University of York, Heslington, York, United Kingdom; Hay J., New Zealand Institute of Language, Brain and Behaviour, University of Canterbury, Christchurch, New Zealand; Evans B.G., Dept. of Speech, Hearing and Phonetic Sciences, University College London, London, United Kingdom; Docherty G., Arts, Education and Law, Griffith University, Brisbane, Australia; Mulak K.E., The MARCS Institute for Brain, Behaviour and Development, Western Sydney University, Penrith, Australia; Best C.T., The MARCS Institute for Brain, Behaviour and Development, Western Sydney University, Penrith, Australia","This paper characterizes the perceptual structure of vowel systems in five regional accents of English, from Australia (A), New Zealand (Z), London (L), Yorkshire (Y), and Newcastle upon Tyne (N), on the basis of “whole system” vowel categorization experiments. We established patterns of within-accent vowel confusions, and then explored cross-accent perception, assessing how listeners from one accent background categorize vowels from another. Our experimental task required mapping continuous phonetic dimensions to perceptual categories in the absence of phonotactic and lexical cues to vowel identity and socio-indexical information about the talker. Our results show that, without these sources of information, there is uncertainty in vowel categorization, even for native accent vowels, and that this degree of uncertainty increases for unfamiliar accents. The patterns of cross-accent perception largely reflect the accent-specific perceptual structure of the listener, as opposed to adaptations to the stimulus accents. This finding contrasts with the type of active talker adaptation found with tasks offering lexical information about vowel identity and indexical information about the talker. © 2023 The Author(s).","","","J.A. Shaw; Dept. of Linguistics, Yale University, New Haven, United States; email: jason.shaw@yale.edu","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85170715987"
